"Um lixo de aplicativo. Lento demais, você clica e não exibe que está processando. Tudo da impressão que está travado. Acho que é a pior coisa que já vi da Amazon.",1,0,2.2.438005.0,2022-01-07 20:10:44,
não presta,1,0,2.2.438005.0,2022-01-07 14:06:08,
falta interatividade,1,0,2.2.435197.0,2022-01-07 13:27:53,
limitado..e MTS apps que funcionam no EUA não funcionam no Brasil,2,0,2.2.438005.0,2022-01-07 13:19:54,
Eu gostaria de colocar minha Alexa em português mas não tem como por conta que o dispositivo não tem o idioma em português eu acho que deveria ter por conta que não tem muita gente que sabe falar em inglês,1,0,2.2.438005.0,2022-01-07 12:37:45,
"Tem que melhor muitooooooo eata app. dinheiro para o dono da Amazon nao falta, certez. cuida meu amigo",1,0,2.2.438005.0,2022-01-07 12:13:48,
muuuuito lento para acessar lista de compras,1,0,2.2.438005.0,2022-01-07 07:25:54,
"App com respostas muito lentas, demora reconher as ações da echo dot, o que acaba por vezes me fazendo clicar onde não queria.",2,0,2.2.438005.0,2022-01-07 07:03:36,
"O aplicativo é lento e de uns pra cá, parou de encontrar os meus dispositivos.",2,0,2.2.438005.0,2022-01-06 21:58:36,
"Pior interface a atualidade, só uso pq lrecisa pra alexa",1,0,2.2.438005.0,2022-01-06 21:35:02,
"precisa melhorar na comunicação entre smartphone e e Alexa, só consigo ligar ou mandar mensagem de uma alexa para outra e não no Telefe com o app",2,0,2.2.438005.0,2022-01-06 19:23:08,
Não ter as ferramentas da aplicação em português é muito incómodo. Se usamos em nosso país seria mais correto e coerente ter em nosso idioma.,2,0,2.2.438005.0,2022-01-06 18:54:06,
Não gostei,1,0,,2022-01-06 18:42:18,
A alexa não me responde,1,0,2.2.438005.0,2022-01-06 16:11:23,
Gente eu fiquei na quel e quebra cabeça toda hora como que é,2,0,,2022-01-06 14:42:23,
"É um bom aplicativo, mas poderia ter a opção de ativar sem precisar abrir o aplicativo para fazer alguma coisa, deveria ser como o Google Assistente que basta dizer Ok Google sem precisar abrir o aplicativo.",2,0,2.2.438005.0,2022-01-06 02:59:01,
O app não instala nunca já tentei várias vezes e não consegui instalar,1,0,,2022-01-05 22:25:57,
Travando com frequência,2,0,2.2.438005.0,2022-01-05 22:05:10,
muito aquém do que eu esperava. uso mais como função bluetooth .,1,0,2.2.438005.0,2022-01-05 20:14:49,
"Aplicação muito fraca metade em PT e inglês, e aplicação não se consegue adicionar novos sites de música",1,0,2.2.438005.0,2022-01-05 18:13:01,
"Aplicativo Instável. A cada 3 dias, preciso reconfigurar os dispositivos inteligentes.",1,0,2.2.438005.0,2022-01-05 05:27:05,
"Nem todo mundo tem um celular da NASA pra aguentar o tanto de consumo de momoria que esse app come meu celular quais explodiu com essa desgraça, otimiza ae por favor 😓🙂",1,0,,2022-01-05 00:02:28,
"a alexa poderia ficar disponível sem q pra isso tenha q entrar no app. além disso, fica constantemente com problema em conectar com Spotify.",1,0,2.2.438005.0,2022-01-04 22:45:45,
Aplicativo mega lento,1,0,2.2.438005.0,2022-01-04 21:17:46,
"Muito lento demora uma eternidade pra carregar as seções, achei que fosse a minha internet mas no fim vi que era o app mesmo",1,0,2.2.438005.0,2022-01-04 12:43:39,
Não funciona,1,0,2.2.438005.0,2022-01-04 09:47:24,
trava demais,1,0,2.2.438005.0,2022-01-03 22:15:08,
lendo demais,2,0,2.2.438005.0,2022-01-03 18:33:28,
"Péssimo, congela e não permite a conexão com o Wifi só apresenta falha.",1,0,2.2.438005.0,2022-01-03 18:27:47,
Nao consigo ir pra frente para baixar o app isso é normal nao passo da primeira faze?,1,0,2.2.438005.0,2022-01-03 16:52:12,
"Muito pesado, aplicativo com respostas demoradas, RUIM já deviam ter resolvido isso. Péssimo",1,0,,2022-01-03 15:54:05,
No celular ela falha bastante a escuta,2,0,2.2.438005.0,2022-01-03 13:36:33,
"E extremamente orivel se eu pudesse eu daria 0,0 pra esse app não baixem esse app ele e orivel 😡😡😡",1,0,,2022-01-03 12:32:55,
quero a Alexia em português,2,0,2.2.438005.0,2022-01-03 11:33:04,
não consigo dar o comando de mãos livres no Android Motorola,2,0,2.2.438005.0,2022-01-02 22:14:36,
Não funciona,1,0,,2022-01-02 19:31:18,
não está reproduzindo minha música do spotify....,1,0,2.2.438005.0,2022-01-02 18:59:36,
Não consigo deixar meu echo 10 no modo retrato. Liguei para o suporte e não me atenderam,1,0,2.2.438005.0,2022-01-02 18:10:59,
"Alexa alega ter problemas com conexão,mas já olhei está tudo certo por aqui. fui para o app e nada encontrei",1,0,2.2.438005.0,2022-01-02 16:55:47,
muito ruim. sempre pedindo para fazer assinatura,1,0,2.2.438005.0,2022-01-02 10:24:56,
lentooooo,1,0,2.2.438005.0,2022-01-02 10:05:57,
Antiquado e lento pode ter um topo de gama que vai ser sempre lento,1,0,2.2.438005.0,2022-01-01 20:53:42,
O aplicativo não abre. Fica apenas na tela com o logo da Alexa.,1,0,2.2.438005.0,2022-01-01 14:34:53,
Bernardo bonassoli,1,0,2.2.438005.0,2021-12-31 23:03:15,
Precisa melhorar,2,0,2.2.438005.0,2021-12-31 16:02:58,
"Tinha que ser todo refeito, app pesado, feio, lista compras fica bugando na hora de riscar itens da lista. É melhor pedir verbalmente para o para o echo dot fazer... Um app que só serve para configurar os echos mesmo...",1,0,2.2.438005.0,2021-12-31 13:54:56,
muito difícil!!,1,0,2.2.438005.0,2021-12-31 13:48:59,
Péssimo horrível uma estrela e muito,1,0,2.2.438005.0,2021-12-31 13:28:41,
