muuito bom aprovado;5;0;2.2.438005.0;2022-01-08 13:28:42;
excelente;5;0;2.2.438005.0;2022-01-08 13:19:34;
Melhor aplicativo que eu usei mais tem uma coisa quando eu coloco ele para ver os desposetivo próximo ele não conectar mais tirando isso o app e muito bom;5;0;2.2.438005.0;2022-01-08 13:02:44;
Bom informativo;4;0;2.2.438005.0;2022-01-08 12:21:57;
Ótimo para automação residencial!;4;0;2.2.410255.0;2022-01-08 11:23:02;
Aplicativo Amazon Alexa é excelente eu digo para vocês muito bom;5;0;2.2.438005.0;2022-01-08 10:56:56;
amei;5;0;2.2.438005.0;2022-01-08 08:29:17;
ótimo;5;0;2.2.438005.0;2022-01-08 01:31:13;
TOP EU AMEI MUITO BOM MESMO CONTROLO MINHA CASA INTEIRA;5;0;2.2.438005.0;2022-01-08 00:39:45;
show;5;0;2.2.438005.0;2022-01-07 23:51:41;
E o otima adorei;5;0;2.2.438005.0;2022-01-07 22:43:06;
amei...;5;0;2.2.438005.0;2022-01-07 22:02:03;
EXCELENTE;4;0;2.2.438005.0;2022-01-07 21:05:07;
muito bom esse aplicativo não tem o que reclamar;5;0;2.2.438005.0;2022-01-07 21:03:03;
Esselente;5;0;;2022-01-07 20:37:39;
Perfeita;5;0;2.2.438005.0;2022-01-07 20:36:23;
Eclebyw;5;0;;2022-01-07 20:35:21;
Mutio tiop;5;0;2.2.438005.0;2022-01-07 20:04:53;
excelente;5;0;2.2.438005.0;2022-01-07 19:21:03;
O app é bom mas chamar Alexa sem ter que mexer diretamente no telefone ou pelo botão do fone de ouvido faz muita falta.;4;0;2.2.438005.0;2022-01-07 18:55:22;
ótimo;5;0;2.2.438005.0;2022-01-07 18:32:21;
show;5;0;2.2.438005.0;2022-01-07 17:37:47;
muito top adorando a experiência;5;0;2.2.438005.0;2022-01-07 17:28:17;
ok;5;0;2.2.438005.0;2022-01-07 16:32:14;
é uma ótima companheira ahahahaha e me ajuda muito!;5;0;2.2.438005.0;2022-01-07 15:23:02;
ok;5;0;2.2.438005.0;2022-01-07 14:31:38;
top;5;0;2.2.438005.0;2022-01-07 14:14:28;
Adorei...;5;0;2.2.438005.0;2022-01-07 12:00:59;
Muito bom;4;0;2.2.438005.0;2022-01-07 11:01:53;
ótimo;5;0;2.2.438005.0;2022-01-07 10:23:41;
ainda sinto dificuldade de configurar, e sigo usando só o básico;4;0;2.2.438005.0;2022-01-07 07:50:00;
show;5;0;2.2.438005.0;2022-01-07 06:59:12;
Bom;5;0;2.2.438005.0;2022-01-07 06:21:40;
Nota dez;5;0;2.2.438005.0;2022-01-07 03:35:07;
Bom;5;0;2.2.438005.0;2022-01-07 02:52:42;
amei 😍😍😍;5;0;2.2.438005.0;2022-01-07 00:57:29;
excelente;5;0;2.2.438005.0;2022-01-07 00:49:16;
muito top!;5;0;2.2.438005.0;2022-01-06 23:26:43;
show;5;0;2.2.438005.0;2022-01-06 23:17:14;
muito bom melhor do que o do Google recomendo;5;0;2.2.438005.0;2022-01-06 22:17:02;
muito bom todo dia eu uzo;5;0;;2022-01-06 21:31:01;
muito boa;5;0;2.2.438005.0;2022-01-06 21:19:54;
muito bom.;5;0;2.2.438005.0;2022-01-06 19:15:46;
Amo!!!!!!;5;0;2.2.438005.0;2022-01-06 18:46:03;
estou tentando aprender;4;0;2.2.438005.0;2022-01-06 18:22:32;
muito top;5;0;2.2.438005.0;2022-01-06 18:20:55;
Perfeita, Amei, Só Falta Só A Nova Voz Masculina;5;0;2.2.331351.0;2022-01-06 18:18:28;
muito top;5;0;2.2.438005.0;2022-01-06 17:29:28;
brinquedo novo!! kkk;5;0;2.2.438005.0;2022-01-06 16:53:12;
muitooooooo bommm;5;0;2.2.438005.0;2022-01-06 14:34:01;
espetacular;5;0;2.2.438005.0;2022-01-06 14:04:18;
muito bom;5;0;2.2.438005.0;2022-01-06 13:07:28;
Oportunidade de ser uma Alexa;5;0;2.2.438005.0;2022-01-06 12:14:27;
Muito bom;5;0;2.2.438005.0;2022-01-06 08:06:22;
muito bom;5;0;2.2.438005.0;2022-01-06 07:50:25;
App show;5;0;2.2.438005.0;2022-01-06 06:55:52;
top;5;0;2.2.438005.0;2022-01-06 03:53:40;
Formidável e Incrível, Viva a Tecnologia!!! 🥂🍾;5;0;2.2.438005.0;2022-01-06 00:59:05;
Eu definitivente amei a Alexa é muito legal;5;0;2.2.438005.0;2022-01-06 00:38:00;
ótimo ainda estou prendendo.;5;0;2.2.438005.0;2022-01-05 23:20:24;
ótimo app;5;0;2.2.438005.0;2022-01-05 22:57:18;
excelente , muito bom .....;5;0;2.2.438005.0;2022-01-05 22:55:47;
Excelente;5;0;;2022-01-05 22:54:35;
top;5;0;2.2.438005.0;2022-01-05 22:35:34;
ótimo;5;0;2.2.438005.0;2022-01-05 21:31:42;
Muito bom!!!! 👏👏😊;5;0;2.2.438005.0;2022-01-05 19:39:45;
Alguns controles poderiam ser mais intuitivos e o App poderia ser mais leve. Mas é uma boa maneira de controlar o echo dot.;4;0;2.2.438005.0;2022-01-05 19:39:35;
ótimo;5;0;2.2.438005.0;2022-01-05 18:13:59;
a melhor asistente pesoal que ja usei;5;0;2.2.438005.0;2022-01-05 15:45:05;
ótimo;5;0;2.2.438005.0;2022-01-05 14:20:51;
muito bom;5;0;2.2.438005.0;2022-01-05 13:56:43;
show a Alexa;5;0;2.2.438005.0;2022-01-05 13:14:55;
