Faltam recursos que já foram liberados para os EUA há muito tempo, como algumas opções de disparo de rotinas, por exemplo.;3;0;2.2.438005.0;2022-01-08 06:53:01;
App muito bom e útil. Porém não tem boa performance na troca de dados com a nuvem e as chamadas de audio e video são péssimas. Poucas skills na conta brasileira. Do resto é muito bom e, no meu caso, o app é indispensávep.;3;0;2.2.438005.0;2022-01-08 02:06:28;
pouco intuitivo;3;0;2.2.438005.0;2022-01-07 20:23:48;
"Ótimo serviço, porém um pouco lento para abrir opções simples como as configurações. Quando alguém liga, o celular vibra, faz barulho, mas o botão ""atender"" não aparece";3;4;2.2.438005.0;2022-01-07 13:22:03;
Mais ou menos;3;0;;2022-01-07 09:44:08;
Mãos livres não funciona no meu celular sem ter o aplicativo aberto;3;0;2.2.438005.0;2022-01-06 23:58:08;
Precisei desinstalar o alexa e criar novas rotinas. Só que as rotinas antigas apesar de não estarem presentes, visualizar no aplicativo, ainda estão operando oculto. Como gerenciar rotinas ocultas? Precisa melhorar.;3;0;2.2.438005.0;2022-01-06 17:15:04;
Faz um widget com os atalhos das rotinas, pelo amor de deus, para quem ainda não tem a caixa de som Alexa e usar no celular ajudaria muito, já que a Alexa não responde sem clicar em algo, pelo menos com o widget já usaria do clique nescessário para executar a ação desejada.;3;0;2.2.438005.0;2022-01-05 23:58:17;
Ter uma casa inteligente é fantástico, faltam resolver duas coisas para merecer as 5 estrelas. A primeira é que o aplicativo é demasiadamente lento e a segunda e que não reconhece as tvs lg.;3;0;2.2.438005.0;2022-01-05 22:40:39;
Realmente as skills são infantis, poderia ser mais produtiva, precisa melhorar muito para ser tornar um produto útil no dia a dia. Se a Amazom ficasse nisso talvez não teria tantas desistências de uso da encho.;3;0;2.2.438005.0;2022-01-05 22:02:45;
Precisamos de recursos de criar cenas para serem adicionadas e executadas nas rotinas.;3;0;2.2.438005.0;2022-01-05 20:55:57;
O app é muito lento. Fica travando muuuuuito.;3;0;2.2.438005.0;2022-01-05 19:46:51;
não consigo configurar minha tv;3;0;2.2.438005.0;2022-01-05 19:13:47;
E legal 😎;3;0;;2022-01-05 19:04:07;
o app trava muito;3;0;2.2.438005.0;2022-01-05 13:26:11;
"Ela é muito limitada. Sobre as ""datas comemorativas"", traz informações muitas vezes de assuntos/temas pouco conhecido ou da somente da geração atual, deveria falar uns 3 diferentes, de áreas e gerações diferentes. Só responde a 1 palavra chave, deveria compreender sinônimos.";3;0;2.2.438005.0;2022-01-04 22:15:25;
deveria da mais funções a tv;3;0;2.2.438005.0;2022-01-04 16:36:02;
Lento para carregar e trocar de lista;3;0;2.2.438005.0;2022-01-04 10:11:00;
precisa melhorar informação de configuração;3;0;2.2.438005.0;2022-01-04 01:57:13;
ótima a experiência falta uso de condições;3;0;2.2.438005.0;2022-01-03 22:49:19;
Pelo amor de Deus!! Vocês tem que otimizar esse app, estou enfrentando lentidão em um Redmi Note 10;3;0;2.2.438005.0;2022-01-03 22:26:02;
Uso alexa ha algum tempo ela é muito bom;3;0;2.2.438005.0;2022-01-03 21:55:47;
bom;3;0;2.2.438005.0;2022-01-03 20:37:01;
Não consigo conectar com a lâmpada Elgin;3;0;2.2.438005.0;2022-01-03 18:06:04;
muita coisa a melhorar... entende pouco e é pouco útil. todas as configurações do app são confusas. torná-lo usável, precisa de muita paciência;3;0;2.2.438005.0;2022-01-03 17:07:56;
Tanto faz você é bom ou ruim eu não uso muito mesmo só quando eu quero trollar o pessoal colocando;3;0;2.2.438005.0;2022-01-02 23:16:54;
Depois da atualização a minha echo show 10 ficou lenta, parece que ela não escuta o minha voz e também a vezes não responde o meu comando.;3;0;2.2.438005.0;2022-01-02 22:01:15;
O apk quando vamos a opção Português muita coisa ainda aparece em inglês. Em relação ao echo, está excelente é pena ainda não ter o português pt, só em br.;3;2;2.2.438005.0;2022-01-02 21:25:31;
Não está pegando novas rotinas;3;0;2.2.403931.0;2022-01-02 15:17:19;
Está lento no app e travando;3;0;2.2.438005.0;2022-01-02 11:15:31;
Acho bom, mas eu achava que a Alexa tocava ou fazia qualquer coisa q tivesse na internet. MAS TEM COISA RESTRITA COMO EX: ELA NAO TOCA MUSICA DO YOU TUBE E EU TENHO YOU TUBE MUSIC...AFF...POR FAVOR PRECISAMOS DE UMA SKILL DO YOU TUBE PARA A ALEXA!;3;0;2.2.438005.0;2022-01-02 08:00:54;
é ótimo, porém o app é muito lento;3;0;2.2.438005.0;2022-01-02 05:47:50;
Muito legal, mas algumas funções poderiam ser mais personalizáveis;3;0;2.2.438005.0;2022-01-01 18:29:23;
"poderia aceitar comandos como ""tocar minhas músicas favoritas janis joplin"". é não tem. se ru der esse comentado ela reproduz a playlist do artista mo app que eu determinar ser o reprodutor de música. no mais parece ser bom produto";3;0;2.2.438005.0;2022-01-01 13:00:09;
está pausando muito, qual será a correção para esse problema ?;3;0;2.2.438005.0;2021-12-31 22:14:30;
Do nada parou de reconhecer minha conta Deezer e diz que não é compatível... Não consigo mais usar...;3;0;2.2.426944.0;2021-12-31 13:29:52;
Muito difícil de meche tirando isso é muito bo.;3;0;2.2.438005.0;2021-12-31 11:54:50;
Com o app aberto, a função toque funciona de primeira, mas chamando a Alexa por comando de voz, a mesma só atende pela segunda vez.;3;0;2.2.438005.0;2021-12-31 08:57:44;
Não tem como tirar da playlist algumas opções que NÃO gosto. Exemplo: sertanejo;3;0;2.2.438005.0;2021-12-30 15:35:10;
lampada;3;0;2.2.438005.0;2021-12-29 12:18:04;
App bom, mas tem MUITO para melhorar. Algumas configurações não são intuitivas de encontrar, nem de aplicar. Existem itens de menu que você acessa achando que vai encontrar uma coisa e encontra outras sem muito sentido. As skills da Alexa são, em sua maioria, inúteis. As que são úteis não funcionam muito bem. Acho que a única coisa que acertaram bem é a maneira de criar rotinas, que ficou simples, mas também daria para melhorar um tanto Precisam evoluir muito em usabilidade e tecnologia.;3;112;2.2.438005.0;2021-12-29 01:06:28;
Poderia ser mais rápido o app;3;0;2.2.438005.0;2021-12-28 23:05:23;
O app é bom, mas lento, com tempo de resposta muito demorado. Deveria também haver integração com dispositivos de casa inteligente de forma offline, apenas com rede wi-fi interna;3;0;2.2.438005.0;2021-12-28 16:58:08;
Boas funções, porém é muito lento!;3;0;2.2.438005.0;2021-12-28 14:49:50;
faltou uma barra de pesquisa;3;0;2.2.438005.0;2021-12-28 12:11:30;
app não muito intuitivo como o smarthings da Samsung;3;0;2.2.438005.0;2021-12-27 18:36:54;
muito lento e as vezes não responde corretamente;3;0;2.2.438005.0;2021-12-26 18:00:36;
Falta melhorar muito o sistema para conectar dispositivos e principalmente com código de ativação.;3;0;2.2.438005.0;2021-12-26 16:10:42;
Legal;3;0;2.2.400291.0;2021-12-26 13:10:31;
Poderia ter opção da Alexa falar sempre baixo para lembretes e alarmes. As vezes a pessoa tá ouvindo música alta e do nada a Alexa avisa pra vizinhança toda um lembrete que tinha programado. Isso é horrível e chega a ser desconfortável.;3;4;2.2.438005.0;2021-12-26 11:17:47;
Minha Alexa vc pede pra apagar a luz, ela apaga e aumenta o volume na mesma hora;3;0;;2021-12-25 22:30:45;
Maybe you should add the option to call alexa without the app open;3;0;2.2.438005.0;2021-12-25 22:15:31;
lento;3;0;2.2.438005.0;2021-12-25 09:44:03;
perde muito a conexão do celular com o dispositivo;3;0;2.2.438005.0;2021-12-25 02:01:44;
tem que assinar Amazon music;3;0;2.2.438005.0;2021-12-24 23:43:12;
não estou achando as skills que pesquisei na net;3;0;2.2.438005.0;2021-12-23 18:27:25;
Alexa bem ruim depois das atualizações, não aceita mais comandos via celular, as rádios armazenada nas skil não funciona só funciona quando fala na própria Alexa, continua ruim nem pelo celular consigo ligar as tomadas e bocais de lâmpadas...;3;2;2.2.438005.0;2021-12-22 08:27:52;
aplicativo lento;3;0;2.2.438005.0;2021-12-21 19:31:16;
aplicativo muito bom,porem meu echo dot só espanhol, remover o português Brasil não vai me fazer comprar outros echo ou novos produtos, temos outras opções feitas para brasileiros...;3;0;2.2.438005.0;2021-12-21 09:46:04;
Ainda necessita de melhorias e mais recursos. No geral está satisfatório.;3;0;2.2.438005.0;2021-12-21 00:49:24;
um pouco confuso no início;3;0;2.2.438005.0;2021-12-19 21:18:24;
Bom;3;0;;2021-12-19 18:53:17;
O aplicativo é confuso.;3;0;2.2.438005.0;2021-12-19 14:43:22;
A única coisa ruim desse app é tenho que ficar chamando a assistente através do touch. Em contrapartida a assistente do Google é acionada pelo som da minha voz. Existe alguma atualização para esse app que me possibilite usá-lo sem que eu tenha que pressionar a tela do celular?;3;3;2.2.438005.0;2021-12-18 12:15:52;
só falta mesmo a linguagem portuguesa de Portugal;3;0;2.2.438005.0;2021-12-18 09:55:28;
A Echo Dot é muito funcional, porém não se pode dizer o mesmo do app que apesar de completo tem vários bugs, baixo desempenho e interface poluída e confusa. Existem pontos a serem melhorados.;3;1;2.2.438005.0;2021-12-18 02:15:56;
Eu já não consigo mais usar o ok Google. uso só alexa. Mas é muito chato ficar conectando skills até para o que é da própria Amazon.;3;1;2.2.438005.0;2021-12-17 19:16:59;
App bacana, com várias opções... porém, muito lento;3;0;2.2.438005.0;2021-12-17 16:12:22;
poderia ser mais prático;3;0;2.2.438005.0;2021-12-17 13:55:19;
muito lento;3;0;2.2.438005.0;2021-12-17 09:07:49;
precisa melhorar a comunicação;3;0;2.2.438005.0;2021-12-16 21:57:47;
não sei pq hora consigo ligar e desligar o ar-condicionado e aparece para eu falar com a Alexa, e hora some tudo não consigo nada;3;0;2.2.438005.0;2021-12-16 20:49:57;
Ela está confundindo cômodos com dispositivos, eu tenho uma luz no corredor e se mando ela desligar a luz do corredor ela diz que existem dois dispositivos, Corredor e Luz do Corredor.;3;7;2.2.438005.0;2021-12-16 19:53:47;
